,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,labels
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-06-13 07:51:44,2023-06-12 22:12:06,20010,871.0,11986,760,21315,685,6694,30558,2023-05-16 14:38:31,2.6.1,487762.0,5188.0,65,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7070.0,7070.0,2869,43,True,1,True,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-06-11 01:59:17,2023-06-10 10:00:34,4381,218.0,2773,202,5106,828,4341,13014,2023-05-25 23:37:40,3.4.8,2015220.0,87618.0,100,Workflow engine for Kubernetes.,198.0,198.0,750,39,True,2,True,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-06-13 05:45:02,2023-06-12 19:03:29,8786,237.0,1039,135,4961,564,3751,11630,2023-05-31 12:42:24,2.58.2,109145.0,5197.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,7808.0,7808.0,283,38,True,1,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-06-13 07:01:51,2023-06-13 02:37:55,4156,341.0,3284,290,5616,954,1977,14565,2023-06-10 01:28:30,2.4.1,,,70,Open source platform for the machine learning lifecycle.,20283.0,20283.0,586,37,True,1,True,
4,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-06-13 06:59:10,2023-06-12 23:35:57,14707,1107.0,946,97,8713,1418,4039,7629,2023-06-08 19:13:03,1.3.9,,,100,"An orchestration platform for the development, production, and observation of data assets.",1241.0,1241.0,315,34,True,2,True,
5,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-06-09 12:43:06,2023-05-29 13:08:03,2450,22.0,2065,364,3423,301,3403,12635,2023-03-29 15:38:55,1.7.0,78660.0,1248.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,288,33,True,3,True,
6,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-06-09 12:43:06,2023-05-29 13:08:03,2450,22.0,2065,364,3423,301,3403,12635,2023-03-29 15:38:55,1.7.0,78660.0,1248.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,288,33,True,1,,
7,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-05-09 08:37:29,2023-05-04 09:47:52,4078,4.0,2279,481,2270,88,876,16574,2023-05-04 09:55:49,3.3.0,,,56,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2145.0,2145.0,600,31,True,3,True,
8,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-06-13 00:28:20,2023-06-12 22:15:03,2486,166.0,564,66,2869,146,732,5025,2023-06-12 20:44:54,1.0.22,1938.0,38.0,85,Unified Model Serving Framework.,1026.0,1026.0,158,31,True,1,,"['tensorflow', 'pytorch']"
9,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2023-06-13 05:49:59,2023-06-13 05:43:23,3047,124.0,1181,122,3064,259,2545,5469,2023-05-31 00:18:03,2.34.0,195333.0,3551.0,55,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,104,29,True,3,,"['tensorflow', 'pytorch']"
