,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-06-15 17:57:13,2023-06-15 17:57:12,20046,858.0,12002,762,21359,690,6706,30592,2023-05-16 14:38:31,2.6.1,488904.0,5201.0,65,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7092.0,7092.0,2870,43,True,1,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-06-15 14:59:21,2023-06-14 22:45:02,4385,216.0,2775,202,5112,832,4342,13028,2023-05-25 23:37:40,3.4.8,2032909.0,88387.0,100,Workflow engine for Kubernetes.,198.0,198.0,752,39,True,2,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-06-15 15:30:15,2023-06-15 15:30:14,8800,238.0,1040,135,4976,562,3758,11641,2023-06-13 14:47:34,3.0.0,109730.0,5225.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,7852.0,7852.0,283,38,True,1,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-06-15 17:28:18,2023-06-15 15:44:03,4178,356.0,3284,290,5655,959,1977,14588,2023-06-10 01:28:30,2.4.1,,,70,Open source platform for the machine learning lifecycle.,20358.0,20358.0,587,37,True,1,
4,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-06-15 17:43:49,2023-06-15 16:30:54,14735,1100.0,948,97,8754,1400,4065,7652,2023-06-08 19:13:03,1.3.9,,,100,"An orchestration platform for the development, production, and observation of data assets.",1248.0,1248.0,315,34,True,2,
5,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-06-14 15:24:51,2023-06-14 14:38:35,2458,29.0,2065,364,3429,300,3404,12648,2023-03-29 15:38:55,1.7.0,78672.0,1248.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,290,33,True,3,
6,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-06-14 15:24:51,2023-06-14 14:38:35,2458,29.0,2065,364,3429,300,3404,12648,2023-03-29 15:38:55,1.7.0,78672.0,1248.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,290,33,True,1,
7,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-06-14 14:34:32,2023-05-04 09:47:52,4078,4.0,2279,482,2270,89,876,16580,2023-05-04 09:55:49,3.3.0,,,56,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2146.0,2146.0,600,31,True,3,
8,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-06-15 08:15:45,2023-06-12 22:15:03,2486,157.0,566,66,2872,147,732,5042,2023-06-12 20:44:54,1.0.22,1939.0,38.0,85,Unified Model Serving Framework.,1030.0,1030.0,158,31,True,1,"['tensorflow', 'pytorch']"
9,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2023-06-15 04:55:54,2023-06-15 00:52:08,3052,122.0,1182,122,3066,263,2549,5488,2023-05-31 00:18:03,2.34.0,195512.0,3554.0,55,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,104,29,True,3,"['tensorflow', 'pytorch']"
10,Labelimg,data-labelling,heartexlabs/labelImg,https://github.com/heartexlabs/labelImg,https://github.com/heartexlabs/labelImg,MIT,2015-09-17 01:33:59,2023-05-31 00:41:28,2022-09-22 22:12:32,449,,5654,383,242,380,359,20022,2018-12-03 05:40:38,1.8.1,,,2,LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer..,882.0,882.0,109,28,True,1,
11,Metaflow,data-workflows,Netflix/metaflow,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25,2023-06-15 17:18:35,2023-06-15 17:18:33,719,82.0,605,264,925,227,299,6724,2023-06-12 19:27:44,2.9.4,,,84,Build and manage real-life data science projects with ease!.,486.0,486.0,72,28,True,3,
12,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2023-06-15 07:41:36,2023-06-15 07:41:33,7659,104.0,2105,241,721,43,1375,5877,2023-05-02 04:07:15,2.12.1,,,100,"A flexible, high-performance serving system for machine learning models.",2.0,2.0,213,28,True,3,['tensorflow']
13,sacred,mlops-experimentation-tracking,IDSIA/sacred,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29,2023-05-02 06:02:12,2023-05-02 05:51:57,1341,1.0,357,71,363,94,458,4046,2023-01-25 17:03:54,0.8.4,,,12,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2422.0,2422.0,104,26,True,3,
14,TFX,model-training,tensorflow/tfx,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36,2023-06-15 16:41:31,2023-06-15 11:04:26,5111,111.0,640,92,5099,48,795,1965,2023-05-03 18:43:05,1.13.0,,,89,TFX is an end-to-end platform for deploying production ML pipelines.,,,174,25,True,1,['tensorflow']
