,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,new_addition
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-06-19 18:40:40,2023-06-19 18:40:39,20080,864.0,12014,763,21399,691,6723,30647,2023-06-17 10:19:05,2.6.2,490834.0,5221.0,66,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7122.0,7122.0,2874,43,True,1,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-06-19 17:09:24,2023-06-19 17:07:39,4391,209.0,2774,202,5120,832,4343,13045,2023-05-25 23:37:40,3.4.8,2051384.0,89190.0,100,Workflow engine for Kubernetes.,198.0,198.0,752,39,True,2,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-06-19 17:30:07,2023-06-19 00:44:10,8808,238.0,1043,135,4985,570,3761,11651,2023-06-18 22:21:41,3.1.0,109800.0,5228.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,7918.0,7918.0,283,38,True,1,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-06-19 07:31:41,2023-06-17 21:10:55,4189,361.0,3287,291,5675,962,1979,14609,2023-06-10 01:28:30,2.4.1,,,70,Open source platform for the machine learning lifecycle.,20482.0,20482.0,589,37,True,1,,
4,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-06-19 10:28:13,2023-06-16 22:32:40,14750,1086.0,951,97,8772,1410,4070,7680,2023-06-15 18:07:39,1.3.10,,,100,"An orchestration platform for the development, production, and observation of data assets.",1275.0,1275.0,316,34,True,2,,
5,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-06-19 13:36:38,2023-06-14 14:38:35,2458,27.0,2067,364,3434,302,3404,12663,2023-03-29 15:38:55,1.7.0,78687.0,1249.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,290,33,True,3,,
6,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-06-19 13:36:38,2023-06-14 14:38:35,2458,27.0,2067,364,3434,302,3404,12663,2023-03-29 15:38:55,1.7.0,78687.0,1249.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,290,33,True,1,,
7,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-06-19 10:58:47,2023-06-18 21:30:57,1225,89.0,763,55,1481,319,1108,2255,2023-03-05 20:28:14,0.10.1,360484.0,8010.0,22,Standardized Serverless ML Inference Platform on Kubernetes.,163.0,163.0,203,32,True,1,"['tensorflow', 'pytorch', 'onnx']",True
8,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-06-14 14:34:32,2023-05-04 09:47:52,4078,4.0,2281,482,2270,89,876,16587,2023-05-04 09:55:49,3.3.0,,,56,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2149.0,2149.0,600,31,True,3,,
9,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-06-19 16:07:50,2023-06-16 22:15:16,21802,187.0,544,162,5864,697,2385,5937,2023-06-08 20:36:52,2.6.3,22472.0,3210.0,100,Data-Centric Pipelines and Data Versioning.,,,178,31,True,3,,True
