,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,new_addition,trending
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-06-23 07:58:41,2023-06-23 07:55:19,20116,885.0,12022,762,21437,688,6745,30705,2023-06-17 10:19:05,2.6.2,492712.0,5241.0,66,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7156.0,7156.0,2876,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-06-22 17:15:11,2023-06-22 17:09:25,4402,208.0,2778,201,5131,837,4348,13063,2023-05-25 23:37:40,3.4.8,2074709.0,90204.0,100,Workflow engine for Kubernetes.,198.0,198.0,754,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-06-23 03:37:19,2023-06-23 03:28:35,8822,237.0,1046,135,4999,564,3777,11673,2023-06-23 03:37:19,3.2.1,109826.0,5229.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,7973.0,7973.0,283,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-06-23 06:46:57,2023-06-22 07:28:52,4198,352.0,3294,291,5701,963,1981,14637,2023-06-10 01:28:30,2.4.1,,,70,Open source platform for the machine learning lifecycle.,20590.0,20590.0,591,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-06-23 07:39:00,2023-06-22 19:23:48,5278,358.0,1249,129,1971,349,1960,19016,2023-06-15 22:03:01,3.35.2,,,100,Create UIs for your machine learning model in Python in 3 minutes.,8734.0,8734.0,172,35,True,1,['python'],True,
5,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-06-22 20:16:24,2023-06-22 14:17:08,6884,165.0,1819,408,956,711,812,18887,2023-05-31 16:21:43,2.10.2,,,57,Data Apps & Dashboards for Python. No JavaScript Required.,48196.0,48196.0,137,34,True,2,['python'],True,
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-06-23 01:35:59,2023-06-22 23:28:58,14791,1076.0,953,97,8817,1417,4082,7706,2023-06-22 17:57:53,1.3.11,,,100,"An orchestration platform for the development, production, and observation of data assets.",1286.0,1286.0,316,34,True,2,,,
7,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-06-23 06:52:22,2023-06-22 18:21:04,5570,187.0,2222,294,3433,630,2730,25513,2023-06-02 01:09:01,1.23.1,,,59,Streamlit A faster way to build and share data apps.,814.0,814.0,185,33,True,3,['python'],True,
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-06-21 11:18:05,2023-06-14 14:38:35,2458,18.0,2070,364,3437,304,3405,12680,2023-03-29 15:38:55,1.7.0,78714.0,1249.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,289,33,True,3,,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-06-21 11:18:05,2023-06-14 14:38:35,2458,18.0,2070,364,3437,304,3405,12680,2023-03-29 15:38:55,1.7.0,78714.0,1249.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,289,33,True,1,,,
