,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-07-06 17:58:54,2023-07-06 17:58:54,20301,982.0,12057,760,21632,706,6824,30851,2023-06-27 14:34:24,helm-chart/1.10.0,499277.0,5255.0,67,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7292.0,7292.0,2900,42,True,1,-1.0,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-07-06 16:29:35,2023-07-06 16:17:25,4425,196.0,2789,200,5156,834,4362,13108,2023-05-25 23:37:40,3.4.8,2153901.0,89745.0,100,Workflow engine for Kubernetes.,198.0,198.0,762,39,True,2,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-07-06 09:40:00,2023-07-05 16:42:07,8859,231.0,1051,135,5037,550,3801,11721,2023-07-03 23:18:46,3.4.0,78879.0,4151.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,8258.0,8258.0,283,38,True,1,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-07-06 15:16:20,2023-07-06 12:02:01,4293,417.0,3324,291,5841,975,1996,14745,2023-06-10 01:28:30,2.4.1,,,70,Open source platform for the machine learning lifecycle.,20990.0,20990.0,593,37,True,1,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-07-06 17:55:04,2023-07-06 17:43:49,5365,389.0,1272,128,2068,351,2014,19434,2023-06-15 22:03:01,3.35.2,,,100,Create UIs for your machine learning model in Python in 3 minutes.,9503.0,9503.0,176,35,True,1,,['python']
5,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-07-04 21:05:34,2023-06-29 19:46:37,6909,155.0,1824,411,963,712,815,18956,2023-06-29 20:21:49,2.11.1,,,59,Data Apps & Dashboards for Python. No JavaScript Required.,48736.0,48736.0,137,34,True,2,,['python']
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-07-06 17:58:53,2023-07-06 16:05:42,14889,966.0,961,97,8953,1465,4101,7829,2023-06-29 17:07:47,1.3.13,,,100,"An orchestration platform for the development, production, and observation of data assets.",1322.0,1322.0,320,34,True,2,,
7,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-07-06 17:18:19,2023-07-05 19:21:59,5584,173.0,2236,296,3456,648,2754,25814,2023-06-27 06:14:43,1.24.0,,,60,Streamlit A faster way to build and share data apps.,848.0,848.0,187,33,True,3,,['python']
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-07-05 22:42:29,2023-06-28 14:00:16,2459,15.0,2077,364,3441,309,3406,12716,2023-03-29 15:38:55,1.7.0,78797.0,1231.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,289,33,True,3,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-07-05 22:42:29,2023-06-28 14:00:16,2459,15.0,2077,364,3441,309,3406,12716,2023-03-29 15:38:55,1.7.0,78797.0,1231.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,289,33,True,1,,
10,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-07-06 15:09:01,2023-07-05 09:43:14,1236,84.0,766,55,1490,319,1118,2291,2023-06-25 13:17:52,0.10.2,372326.0,8094.0,23,Standardized Serverless ML Inference Platform on Kubernetes.,176.0,176.0,207,32,True,1,,"['tensorflow', 'pytorch', 'onnx']"
11,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-07-03 07:10:36,2023-05-04 09:47:52,4078,4.0,2283,481,2271,90,876,16624,2023-05-04 09:55:49,3.3.0,,,56,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2161.0,2161.0,600,31,True,3,,
12,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-07-06 17:39:18,2023-07-06 15:58:56,21844,189.0,547,162,5945,697,2385,5940,2023-06-30 19:00:18,2.6.5,24940.0,3117.0,100,Data-Centric Pipelines and Data Versioning.,,,178,31,True,3,-1.0,
13,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-07-06 13:46:13,2023-07-06 01:47:46,2528,168.0,586,66,2922,146,744,5225,2023-06-12 20:44:54,1.0.22,2037.0,39.0,85,Build Production-Grade AI Applications.,1078.0,1078.0,161,31,True,2,,"['tensorflow', 'pytorch', 'onnx']"
14,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2023-07-06 16:53:46,2023-07-06 16:53:41,3073,109.0,1193,122,3092,271,2586,5626,2023-06-30 01:39:56,2.35.0,196776.0,3513.0,56,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,104,29,True,2,,"['tensorflow', 'pytorch']"
15,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2023-07-06 09:23:14,2023-07-06 09:23:06,2140,64.0,574,84,219,361,474,4525,2023-06-22 08:56:16,1.11.1,1326.0,27.0,84,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",624.0,624.0,81,29,True,3,,
16,Seldon,model-serving,SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,Apache-2.0,2017-12-20 14:51:54,2023-07-06 17:10:12,2023-07-06 14:30:45,7284,31.0,746,84,2779,45,2155,3803,2023-05-16 09:31:49,2.5.0,433.0,6.0,58,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models.",490.0,490.0,197,29,True,2,,"['tensorflow', 'pytorch', 'onnx']"
17,Labelimg,data-labelling,heartexlabs/labelImg,https://github.com/heartexlabs/labelImg,https://github.com/heartexlabs/labelImg,MIT,2015-09-17 01:33:59,2023-05-31 00:41:28,2022-09-22 22:12:32,449,,5684,385,242,380,360,20134,2018-12-03 05:40:38,1.8.1,,,2,LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer..,905.0,905.0,109,28,True,1,,
18,Metaflow,data-workflows,Netflix/metaflow,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25,2023-07-06 15:28:38,2023-07-05 13:39:17,731,77.0,606,265,938,226,303,6798,2023-06-27 09:21:06,2.9.7,,,87,Build and manage real-life data science projects with ease!.,492.0,492.0,72,28,True,3,,
19,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2023-07-06 13:02:26,2023-07-06 13:02:23,7720,145.0,2107,242,724,43,1379,5896,2023-05-02 04:07:15,2.12.1,,,100,"A flexible, high-performance serving system for machine learning models.",2.0,2.0,215,28,True,3,,['tensorflow']
20,voila,data-visualization,voila-dashboards/voila,https://github.com/voila-dashboards/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42,2023-07-06 13:56:28,2023-07-06 13:56:26,1389,15.0,463,76,678,276,388,4823,2023-06-26 10:19:09,0.4.1,742.0,33.0,33,Voil turns Jupyter notebooks into standalone web applications.,9943.0,9943.0,65,28,False,3,1.0,
21,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2023-07-06 16:56:05,2023-06-29 20:49:31,3441,85.0,739,53,1138,262,1042,3537,2023-06-14 23:54:09,0.8.1,4538.0,116.0,18,"Serve, optimize and scale PyTorch models in production.",,,160,26,True,3,,['pytorch']
22,sacred,mlops-experimentation-tracking,IDSIA/sacred,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29,2023-06-19 05:07:43,2023-06-19 05:07:42,1342,2.0,357,71,364,94,459,4054,2023-01-25 17:03:54,0.8.4,,,12,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2466.0,2466.0,105,25,True,3,-1.0,
