,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-07-13 17:38:14,2023-07-13 16:37:11,20402,1003.0,12073,760,21743,704,6866,30942,2023-07-10 23:02:37,2.6.3,502967.0,5294.0,68,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7379.0,7379.0,2904,43,True,1,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-07-13 17:34:31,2023-07-13 17:30:25,4460,201.0,2800,199,5197,837,4368,13141,2023-05-25 23:37:40,3.4.8,2198256.0,91594.0,100,Workflow engine for Kubernetes.,199.0,199.0,764,39,True,2,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-07-12 16:08:02,2023-07-12 16:07:41,8872,238.0,1051,136,5049,555,3808,11745,2023-07-11 01:03:44,3.5.1,80473.0,4235.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,8378.0,8378.0,283,38,True,1,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-07-13 17:58:35,2023-07-13 15:24:17,4347,456.0,3336,292,5906,983,2006,14778,2023-07-10 08:05:19,2.4.2,,,71,Open source platform for the machine learning lifecycle.,21198.0,21198.0,598,37,True,1,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-07-13 17:50:03,2023-07-13 16:41:47,5409,414.0,1293,127,2123,372,2039,19697,2023-07-07 20:17:35,3.36.1,,,100,Create UIs for your machine learning model in Python in 3 minutes.,9848.0,9848.0,177,35,True,1,['python'],
5,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-07-13 17:58:13,2023-07-13 17:53:17,5610,185.0,2247,296,3488,660,2763,25953,2023-07-07 18:45:22,1.24.1,,,61,Streamlit A faster way to build and share data apps.,872.0,872.0,189,34,True,2,['python'],1.0
6,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-07-13 16:35:53,2023-07-12 20:57:36,6917,150.0,1828,413,968,717,819,18992,2023-06-29 20:21:49,2.11.1,,,59,Data Apps & Dashboards for Python. No JavaScript Required.,48978.0,48978.0,138,34,True,2,['python'],
7,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-07-13 17:58:29,2023-07-13 17:58:27,14977,902.0,967,97,9032,1491,4126,7901,2023-06-29 17:07:47,1.3.13,,,100,"An orchestration platform for the development, production, and observation of data assets.",1348.0,1348.0,324,34,True,2,,
8,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-07-12 21:55:09,2023-06-28 14:00:16,2459,15.0,2085,364,3450,313,3406,12735,2023-03-29 15:38:55,1.7.0,78841.0,1231.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,289,33,True,3,,
9,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-07-12 21:55:09,2023-06-28 14:00:16,2459,15.0,2085,364,3450,313,3406,12735,2023-03-29 15:38:55,1.7.0,78841.0,1231.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,289,33,True,1,,
10,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-07-13 12:23:43,2023-07-10 10:35:21,1244,84.0,769,55,1496,308,1132,2298,2023-06-25 13:17:52,0.10.2,378549.0,8229.0,24,Standardized Serverless ML Inference Platform on Kubernetes.,181.0,181.0,208,33,True,1,"['tensorflow', 'pytorch', 'onnx']",1.0
11,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-07-13 17:59:02,2023-07-13 17:44:41,21874,202.0,548,162,5993,697,2385,5946,2023-07-12 19:14:59,2.5.7,25261.0,3608.0,100,Data-Centric Pipelines and Data Versioning.,,,181,32,True,3,,
