,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-09-14 17:58:08,2023-09-14 17:22:39,21438,1378.0,12295,759,22897,698,7260,31675,2023-09-07 18:08:24,2.7.1,534866.0,5514.0,70,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7948.0,7948.0,2984,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-09-14 17:20:42,2023-09-14 16:50:32,4684,299.0,2857,204,5494,847,4488,13415,2023-09-08 01:14:16,3.4.11,2695187.0,99821.0,100,Workflow Engine for Kubernetes.,188.0,188.0,806,38,True,2,,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-09-14 17:53:25,2023-09-14 04:57:44,4645,457.0,3445,291,6314,1035,2099,15242,2023-09-12 18:26:09,2.7.0,,,74,Open source platform for the machine learning lifecycle.,23674.0,23674.0,635,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-09-14 14:36:48,2023-09-14 14:36:46,8983,181.0,1063,136,5156,562,3895,11966,2023-09-07 13:04:11,3.19.0,38954.0,2996.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,9357.0,9357.0,288,37,True,1,-1.0,,
4,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-09-14 17:45:15,2023-09-14 17:45:15,5750,191.0,2348,297,3666,623,2942,27104,2023-08-24 21:21:14,1.26.0,,,63,Streamlit A faster way to build and share data apps.,975.0,975.0,197,35,True,1,1.0,['python'],
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-09-14 17:11:52,2023-09-14 09:08:04,5647,418.0,1467,134,2419,423,2334,21803,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",13270.0,13270.0,201,35,True,1,,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-09-14 17:56:31,2023-09-14 17:13:25,15701,951.0,1022,101,9898,1626,4261,8432,2023-09-07 21:00:33,1.4.12,,,100,"An orchestration platform for the development, production, and observation of data assets.",1489.0,1489.0,341,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-09-11 15:57:15,2023-08-29 16:49:04,7007,135.0,1850,413,988,730,830,19343,2023-08-28 15:33:00,2.13.0,,,62,Data Apps & Dashboards for Python. No JavaScript Required.,51410.0,51410.0,140,34,True,3,,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-09-14 14:45:14,2023-09-13 12:41:14,1270,48.0,783,56,1532,322,1162,2422,2023-08-07 01:19:59,0.11.0,519901.0,10831.0,25,Standardized Serverless ML Inference Platform on Kubernetes.,211.0,211.0,211,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-09-13 13:07:35,2023-09-06 17:34:32,2481,23.0,2105,364,3489,190,3565,12963,2023-03-29 15:38:55,1.7.0,79057.0,1197.0,82,Machine Learning Toolkit for Kubernetes.,41.0,41.0,295,32,True,3,-1.0,,
