,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-11-02 17:53:39,2023-11-02 16:18:45,21918,1226.0,12539,759,23495,760,7435,32266,2023-10-12 10:58:32,2.7.2,557670.0,5633.0,72,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8351.0,8351.0,3052,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-11-02 16:49:46,2023-11-02 16:40:20,4819,288.0,2892,206,5673,873,4546,13611,2023-10-20 13:00:24,3.4.12,3022987.0,104240.0,100,Workflow Engine for Kubernetes.,203.0,203.0,817,39,True,2,,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-11-02 16:39:42,2023-11-02 14:11:04,4967,531.0,3538,291,6832,1008,2246,15716,2023-10-29 21:36:49,2.8.0,,,76,Open source platform for the machine learning lifecycle.,25529.0,25529.0,668,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-11-02 11:50:21,2023-10-31 21:38:21,9049,144.0,1082,134,5222,573,3929,12149,2023-10-31 05:02:18,3.28.0,40185.0,3091.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,10304.0,10304.0,289,37,True,1,,,
4,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-11-02 16:37:05,2023-11-02 05:36:08,5914,259.0,2445,309,3875,661,3026,28238,2023-10-26 17:18:34,1.28.0,,,67,Streamlit A faster way to build and share data apps.,1038.0,1038.0,203,35,True,1,['python'],,
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-11-02 17:31:37,2023-11-02 14:50:52,5835,350.0,1598,139,2819,451,2604,23134,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",15988.0,15988.0,219,35,True,1,['python'],,
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-11-02 17:57:00,2023-11-02 17:32:59,16305,1078.0,1071,103,10662,1760,4377,8764,2023-10-26 20:49:58,1.5.5,,,100,"An orchestration platform for the development, production, and observation of data assets.",1641.0,1641.0,358,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-11-01 00:25:25,2023-10-26 19:38:28,7069,112.0,1883,414,1002,751,835,19554,2023-10-26 20:29:58,2.14.1,,,64,Data Apps & Dashboards for Python. No JavaScript Required.,53503.0,53503.0,142,34,True,3,['python'],,
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-11-02 09:57:41,2023-10-31 16:07:31,1298,43.0,812,58,1589,314,1207,2556,2023-09-22 22:53:56,0.11.1,654707.0,13094.0,26,Standardized Serverless ML Inference Platform on Kubernetes.,254.0,254.0,217,34,True,1,"['tensorflow', 'pytorch', 'onnx']",1.0,
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-11-01 13:36:45,2023-11-01 05:29:57,2514,38.0,2121,362,3578,178,3615,13110,2023-11-01 13:36:46,1.8.0,79141.0,1163.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,301,33,True,3,,1.0,
