,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,updated_github_id,trending
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2024-01-18 17:35:11,2024-01-18 16:32:57,22816,1046.0,12795,758,24508,742,7729,33130,2023-12-18 19:16:17,2.8.0,584890.0,5790.0,74,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",9203.0,9203.0,3143,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2024-01-18 16:37:36,2024-01-18 16:37:36,5033,243.0,2944,205,5937,921,4621,13933,2024-01-14 06:19:09,3.5.4,3464781.0,115492.0,100,Workflow Engine for Kubernetes.,228.0,228.0,835,39,True,2,,,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2024-01-18 03:12:44,2024-01-18 03:11:03,9152,116.0,1110,137,5338,512,4050,12782,2024-01-18 03:12:44,3.40.0,45138.0,3761.0,100,ML Experiments Management with Git.,12076.0,12076.0,290,38,True,1,,,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2024-01-18 17:18:41,2024-01-18 15:32:37,5232,405.0,3641,291,7272,1069,2296,16268,2023-12-14 15:34:34,2.9.2,,,80,Open source platform for the machine learning lifecycle.,28891.0,28891.0,687,37,True,1,,,
4,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2024-01-18 18:04:59,2024-01-18 16:25:13,6121,318.0,1761,145,3163,434,3083,25657,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",21133.0,21133.0,242,36,True,1,['python'],,
5,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2024-01-18 17:55:39,2024-01-18 15:23:55,16910,703.0,1147,108,11412,1926,4534,9418,2024-01-11 21:07:55,1.6.0,,,100,"An orchestration platform for the development, production, and observation of data assets.",1862.0,1862.0,383,35,True,2,,,
6,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2024-01-18 17:21:39,2024-01-13 21:02:15,1361,70.0,839,61,1679,291,1291,2703,2023-11-15 14:13:33,0.11.2,892679.0,17166.0,28,Standardized Serverless ML Inference Platform on Kubernetes.,306.0,306.0,225,34,True,1,"['tensorflow', 'pytorch', 'onnx']",,
7,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-01-11 19:38:50,2023-12-19 06:37:38,2519,15.0,2146,363,3599,195,3623,13336,2023-11-01 13:36:46,1.8.0,79293.0,1132.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,3,,,
8,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2024-01-11 19:38:50,2023-12-19 06:37:38,2519,15.0,2146,363,3599,195,3623,13336,2023-11-01 13:36:46,1.8.0,79293.0,1132.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,302,33,True,1,,,
9,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2024-01-12 19:03:42,2024-01-09 17:54:08,7097,39.0,1910,413,1008,770,851,19942,2023-11-28 00:56:54,2.14.2,62.0,1.0,65,Data Apps & Dashboards for Python. No JavaScript Required.,57085.0,57085.0,143,32,True,2,['python'],,
10,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2024-01-15 15:33:51,2024-01-15 11:30:30,4099,13.0,2293,477,2291,95,881,17029,2024-01-15 15:33:51,3.5.0,,,58,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2286.0,2286.0,613,32,True,3,,,
11,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2024-01-17 20:02:25,2024-01-17 20:02:23,8203,246.0,2119,239,746,45,1397,6035,2023-11-21 22:22:47,2.14.1,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,222,32,True,2,['tensorflow'],,
12,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2024-01-18 14:31:16,2024-01-11 05:42:37,2717,48.0,680,71,3213,184,788,6115,2023-12-28 21:36:24,1.1.11,2125.0,37.0,99,Build Production-Grade AI Applications.,1470.0,1470.0,192,31,True,2,"['tensorflow', 'pytorch', 'onnx']",,
13,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2024-01-18 17:28:06,2024-01-18 17:26:08,22223,118.0,556,164,6567,701,2387,6036,2024-01-17 19:51:27,2.8.3,26316.0,3759.0,100,Data-Centric Pipelines and Data Versioning.,,,189,31,True,3,,,
14,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2024-01-18 13:19:46,2024-01-18 07:37:48,3643,81.0,774,57,1400,302,1188,3835,2023-10-13 00:21:43,0.9.0,5485.0,121.0,20,"Serve, optimize and scale PyTorch models in production.",586.0,586.0,182,31,True,2,['pytorch'],,
15,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2024-01-18 15:26:19,2024-01-18 15:12:36,2279,67.0,607,91,242,415,518,4985,2024-01-10 16:14:12,1.14.1,1914.0,34.0,92,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",901.0,901.0,88,30,True,3,,,
16,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2024-01-18 17:30:58,2024-01-17 19:14:33,6031,143.0,2616,306,4035,691,3143,29640,2024-01-11 18:50:58,1.30.0,,,71,Streamlit A faster way to build and share data apps.,,,217,29,True,3,['python'],,
17,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2024-01-18 17:50:37,2024-01-18 02:03:46,3260,84.0,1291,133,3411,335,2929,6731,2023-12-20 01:02:35,2.41.0,206457.0,3329.0,62,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,112,29,True,3,"['tensorflow', 'pytorch']",,
18,Labelimg,data-labelling,heartexlabs/labelImg,https://github.com/HumanSignal/labelImg,https://github.com/HumanSignal/labelImg,MIT,2015-09-17 01:33:59,2024-01-04 20:24:05,2022-09-22 22:12:32,449,,5847,395,244,399,364,21291,2018-12-03 05:40:38,1.8.1,,,2,LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer..,1114.0,1114.0,109,28,False,1,,HumanSignal/labelImg,
19,Metaflow,data-workflows,Netflix/metaflow,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25,2024-01-18 09:15:51,2024-01-18 05:21:43,829,43.0,651,275,1095,239,351,7281,2024-01-18 05:23:20,2.11.0,,,100,Build and manage real-life data science projects with ease!.,578.0,578.0,78,28,True,3,,,1.0
20,voila,data-visualization,voila-dashboards/voila,https://github.com/voila-dashboards/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42,2024-01-11 08:23:01,2024-01-11 08:22:54,1442,15.0,476,77,725,281,423,5063,2023-10-31 09:04:25,0.5.5,1029.0,36.0,44,Voil turns Jupyter notebooks into standalone web applications.,10700.0,10700.0,68,28,False,3,,,
21,Seldon,model-serving,SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,Apache-2.0,2017-12-20 14:51:54,2024-01-16 04:47:10,2023-10-09 08:31:40,7304,,796,85,2902,94,2182,4070,2023-08-17 09:13:00,1.17.1,820.0,11.0,62,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models.",531.0,531.0,202,28,True,3,"['tensorflow', 'pytorch', 'onnx']",,
22,sacred,mlops-experimentation-tracking,IDSIA/sacred,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29,2023-11-13 07:23:02,2023-11-13 07:19:19,1344,2.0,362,71,366,97,460,4126,2023-11-13 07:23:02,0.8.5,,,13,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2794.0,2794.0,105,26,True,3,,,
23,TFX,model-training,tensorflow/tfx,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36,2024-01-18 08:16:49,2024-01-18 01:03:21,5491,119.0,674,88,5690,34,848,2045,2023-09-06 18:31:57,1.14.0,,,91,TFX is an end-to-end platform for deploying production ML pipelines.,,,181,25,True,1,['tensorflow'],,
